Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
6,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,9.546252899999999,,68.0465619093026,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
7,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.79143645161291,,66.13871437913522,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
7,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.344668451612904,,66.13871437913522,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
8,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.57148680645161,,62.95896849552295,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
8,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,14.11175448387097,,62.95896849552295,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
9,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.67764523333334,,77.26782497177815,DOWNSTREAM RESTRICTIONS
9,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,28.64658766666666,,77.26782497177815,DOWNSTREAM RESTRICTIONS
10,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,41.978234161290324,,79.97060897284861,DOWNSTREAM RESTRICTIONS
10,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,28.918780838709676,,79.97060897284861,DOWNSTREAM RESTRICTIONS
11,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,53.21224086666667,,82.27842796666667,DOWNSTREAM RESTRICTIONS
11,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,29.0661871,,82.27842796666667,DOWNSTREAM RESTRICTIONS
12,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,56.35760622580646,,80.59673096774195,DOWNSTREAM RESTRICTIONS
12,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,24.239124741935484,,80.59673096774195,DOWNSTREAM RESTRICTIONS
1,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.17109383870967,,85.069461,DOWNSTREAM RESTRICTIONS
1,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,22.898367161290324,,85.069461,DOWNSTREAM RESTRICTIONS
2,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,65.38353579310345,,86.544,DOWNSTREAM RESTRICTIONS
2,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,19.23253817241379,,86.544,DOWNSTREAM RESTRICTIONS
3,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.3188674516129,,85.55635529032259,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
3,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,23.23748783870968,,85.55635529032259,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
4,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.052203766666665,,79.05693763333332,DOWNSTREAM RESTRICTIONS
4,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.004733866666665,,79.05693763333332,DOWNSTREAM RESTRICTIONS
5,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,65.51881138709678,,84.312,DOWNSTREAM RESTRICTIONS
5,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.16477003225807,,84.312,DOWNSTREAM RESTRICTIONS
6,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,59.56884336666667,,85.32,DOWNSTREAM RESTRICTIONS
6,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,18.4037758,,85.32,DOWNSTREAM RESTRICTIONS
7,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,55.40953729032258,,85.44,DOWNSTREAM RESTRICTIONS
7,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,18.3857654516129,,85.44,DOWNSTREAM RESTRICTIONS
8,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,59.21431783870967,,85.128,DOWNSTREAM RESTRICTIONS
8,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,20.904611741935486,,85.128,DOWNSTREAM RESTRICTIONS
9,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,56.82167656666667,,84.55199999999999,DOWNSTREAM RESTRICTIONS
9,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,20.100330333333336,,84.55199999999999,DOWNSTREAM RESTRICTIONS
10,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,50.90366283870968,,83.73599999999999,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
10,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,13.92489635483871,,83.73599999999999,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
11,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.2246841,,79.37673956666666,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
11,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.152055466666663,,79.37673956666666,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
12,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,69.65914177419354,,83.5461676451613,DOWNSTREAM RESTRICTIONS
12,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,13.887025870967742,,83.5461676451613,DOWNSTREAM RESTRICTIONS
1,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,70.34,,86.52,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
1,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,16.18,,86.52,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
2,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,73.59,,87.36,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
2,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,13.77,,87.36,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
3,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,71.81,,85.3,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
3,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,12.66,,85.3,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
4,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,68.77,,84.72,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
4,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,15.46,,84.72,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
5,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,67.64,,84.26,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
5,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,12.96,,84.26,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
6,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,63.04,,84.26,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
6,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,10.11,,84.26,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
7,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,55.14,,81.72,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
7,2013,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,8.59,,81.72,"Capacity may vary month to month based on NEB Regulatory Directive, Downstream Restrictions, Curtailment/Interruptions, Force Majeure and System Operating Factor"
