Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
12,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.871119549419354,,39.33352412000009,
1,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.36801006032258066,,39.33352412000009,
1,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.526978138387097,,39.33352412000009,
1,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.405660367774194,,39.33352412000009,
2,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.28446282642857146,,39.33352412000008,
2,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.79950872892857,,39.33352412000008,
2,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.463525980857144,,39.33352412000008,
3,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.29893765532258065,,39.33352412000009,
3,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,22.43944368612903,,39.33352412000009,
3,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.785866312999999,,39.33352412000009,
4,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.2631986178333333,,39.33352412000009,
4,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,22.98023254566667,,39.33352412000009,
4,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,7.174780332133333,,39.33352412000009,
5,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.3030713320645162,,39.33352412000009,
5,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.658614715806454,,39.33352412000009,
5,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.851748709354839,,39.33352412000009,
6,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.23516381016666665,,39.33352412000009,
6,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.627836603333336,,39.33352412000009,
6,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.539487212166666,,39.33352412000009,
7,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.32480134241935477,,39.33352412000009,
7,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.520309891935486,,39.33352412000009,
7,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.543943650709678,,39.33352412000009,
8,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.24647688680645158,,39.33352412000009,
8,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.272786765161293,,39.33352412000009,
8,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,7.136674944322581,,39.33352412000009,
9,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.19209937786666664,,39.33352412000009,
9,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.533143608333337,,39.33352412000009,
9,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.173042068133333,,39.33352412000009,
10,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.24761544293548388,,39.33352412000009,
10,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.65515288903226,,39.33352412000009,
10,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.633412622,,39.33352412000009,
11,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.36492946253333336,,39.33352412000009,
11,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,23.30507594233333,,39.33352412000009,
11,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,7.017218353599999,,39.33352412000009,
12,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.2823260188709678,,39.33352412000009,
12,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,23.1833054851613,,39.33352412000009,
12,2018,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,7.661816007290324,,39.33352412000009,
1,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.23180387290322582,,39.33352412000009,
1,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.002431997096775,,39.33352412000009,
1,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,7.069566804999998,,39.33352412000009,
2,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.3302455676785714,,39.33352412000008,
2,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.323079771071427,,39.33352412000008,
2,2019,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.724583566107142,,39.33352412000008,
